Char  Count      Encoding
----- ---------- ----------------
0x0A           3 0000
0x67           3 0001
0x62           1 001000
0x64           1 001001
0x6B           1 001010
0x6C           1 001011
0x72           1 001100
0x73           1 001101
0x76           1 001110
0x79           1 001111
0x65           2 01000
0x74           2 01001
0x48           1 010100
0x4B           1 010101
0x4E           1 010110
0x58           1 010111
0x75           2 01100
0x2E           1 011010
0x42           1 011011
0x63           5 0111
0x6E          10 100
0x20          11 101
0x68           5 1100
0x61           6 1101
0x69           6 1110
0x6F           6 1111
